  No.   E(hr.)    dos(hr.)       E(eV)          dos(eV)    sum
    956  -0.8431      0.00000000    -19.1378    0.0000000000  360.0000
    966  -0.8421      0.00000000    -19.1106    0.0000000000  360.0000
    976  -0.8411      0.00000000    -19.0833    0.0000000000  360.0000
    986  -0.8401      0.00000000    -19.0561    0.0000000000  360.0000
    996  -0.8391      0.00000000    -19.0289    0.0000000000  360.0000
   1006  -0.8381      0.00000000    -19.0017    0.0000000000  360.0000
   1016  -0.8371      0.00000000    -18.9745    0.0000000000  360.0000
   1026  -0.8361      0.00000000    -18.9473    0.0000000000  360.0000
   1036  -0.8351      0.00000000    -18.9201    0.0000000000  360.0000
   1046  -0.8341      0.00000000    -18.8929    0.0000000000  360.0000
   1056  -0.8331      0.00000000    -18.8657    0.0000000000  360.0000
   1066  -0.8321      0.00000000    -18.8384    0.0000000000  360.0000
   1076  -0.8311      0.00000000    -18.8112    0.0000000000  360.0000
   1086  -0.8301      0.00000000    -18.7840    0.0000000000  360.0000
   1096  -0.8291      0.00000000    -18.7568    0.0000000000  360.0000
   1106  -0.8281      0.00000000    -18.7296    0.0000000000  360.0000
   1116  -0.8271      0.00000000    -18.7024    0.0000000000  360.0000
   1126  -0.8261      0.00000000    -18.6752    0.0000000000  360.0000
   1136  -0.8251      0.00000000    -18.6480    0.0000000000  360.0000
   1146  -0.8241      0.00000000    -18.6208    0.0000000000  360.0000
   1156  -0.8231      0.00000000    -18.5935    0.0000000000  360.0000
   1166  -0.8221      0.00000000    -18.5663    0.0000000000  360.0000
   1176  -0.8211      0.00000000    -18.5391    0.0000000000  360.0000
   1186  -0.8201      0.00000000    -18.5119    0.0000000000  360.0000
   1196  -0.8191      0.00000000    -18.4847    0.0000000000  360.0000
   1206  -0.8181      0.00000000    -18.4575    0.0000000000  360.0000
   1216  -0.8171      0.00000000    -18.4303    0.0000000000  360.0000
   1226  -0.8161      0.00000000    -18.4031    0.0000000000  360.0000
   1236  -0.8151      0.00000000    -18.3758    0.0000000000  360.0000
   1246  -0.8141      0.00000000    -18.3486    0.0000000000  360.0000
   1256  -0.8131      0.00000000    -18.3214    0.0000000000  360.0000
   1266  -0.8121      0.00000000    -18.2942    0.0000000000  360.0000
   1276  -0.8111      0.00000000    -18.2670    0.0000000000  360.0000
   1286  -0.8101      0.00000000    -18.2398    0.0000000000  360.0000
   1296  -0.8091      0.00000000    -18.2126    0.0000000000  360.0000
   1306  -0.8081      0.00000000    -18.1854    0.0000000000  360.0000
   1316  -0.8071      0.00000000    -18.1582    0.0000000000  360.0000
   1326  -0.8061      0.00000000    -18.1309    0.0000000000  360.0000
   1336  -0.8051      0.00000000    -18.1037    0.0000000000  360.0000
   1346  -0.8041      0.00000000    -18.0765    0.0000000000  360.0000
   1356  -0.8031      0.00000000    -18.0493    0.0000000000  360.0000
   1366  -0.8021      0.00000000    -18.0221    0.0000000000  360.0000
   1376  -0.8011      0.00000000    -17.9949    0.0000000000  360.0000
   1386  -0.8001      0.00000000    -17.9677    0.0000000000  360.0000
   1396  -0.7991      0.00000000    -17.9405    0.0000000000  360.0000
   1406  -0.7981      0.00000000    -17.9133    0.0000000000  360.0000
   1416  -0.7971      0.00000000    -17.8860    0.0000000000  360.0000
   1426  -0.7961      0.00000000    -17.8588    0.0000000000  360.0000
   1436  -0.7951      0.00000000    -17.8316    0.0000000000  360.0000
   1446  -0.7941      0.00000000    -17.8044    0.0000000000  360.0000
   1456  -0.7931      0.00000000    -17.7772    0.0000000000  360.0000
   1466  -0.7921      0.00000000    -17.7500    0.0000000000  360.0000
   1476  -0.7911      0.00000000    -17.7228    0.0000000000  360.0000
   1486  -0.7901      0.00000000    -17.6956    0.0000000000  360.0000
   1496  -0.7891      0.00000000    -17.6684    0.0000000000  360.0000
   1506  -0.7881      0.00000000    -17.6411    0.0000000000  360.0000
   1516  -0.7871      0.00000000    -17.6139    0.0000000000  360.0000
   1526  -0.7861      0.00000000    -17.5867    0.0000000000  360.0000
   1536  -0.7851      0.00000000    -17.5595    0.0000000000  360.0000
   1546  -0.7841      0.00000000    -17.5323    0.0000000000  360.0000
   1556  -0.7831      0.00000000    -17.5051    0.0000000000  360.0000
   1566  -0.7821      0.00000000    -17.4779    0.0000000000  360.0000
   1576  -0.7811      0.00000000    -17.4507    0.0000000000  360.0000
   1586  -0.7801      0.00000000    -17.4235    0.0000000000  360.0000
   1596  -0.7791      0.00000000    -17.3962    0.0000000000  360.0000
   1606  -0.7781      0.00000000    -17.3690    0.0000000000  360.0000
   1616  -0.7771      0.00000000    -17.3418    0.0000000000  360.0000
   1626  -0.7761      0.00000000    -17.3146    0.0000000000  360.0000
   1636  -0.7751      0.00000000    -17.2874    0.0000000000  360.0000
   1646  -0.7741      0.00000000    -17.2602    0.0000000000  360.0000
   1656  -0.7731      0.00000000    -17.2330    0.0000000000  360.0000
   1666  -0.7721      0.00000000    -17.2058    0.0000000000  360.0000
   1676  -0.7711      0.00000000    -17.1785    0.0000000000  360.0000
   1686  -0.7701      0.00000000    -17.1513    0.0000000000  360.0000
   1696  -0.7691      0.00000000    -17.1241    0.0000000000  360.0000
   1706  -0.7681      0.00000000    -17.0969    0.0000000000  360.0000
   1716  -0.7671      0.00000000    -17.0697    0.0000000000  360.0000
   1726  -0.7661      0.00000000    -17.0425    0.0000000000  360.0000
   1736  -0.7651      0.00000000    -17.0153    0.0000000000  360.0000
   1746  -0.7641      0.00000000    -16.9881    0.0000000000  360.0000
   1756  -0.7631      0.00000000    -16.9609    0.0000000000  360.0000
   1766  -0.7621      0.00000000    -16.9336    0.0000000000  360.0000
   1776  -0.7611      0.00000000    -16.9064    0.0000000000  360.0000
   1786  -0.7601      0.00000000    -16.8792    0.0000000000  360.0000
   1796  -0.7591      0.00000000    -16.8520    0.0000000000  360.0000
   1806  -0.7581      0.00000000    -16.8248    0.0000000000  360.0000
   1816  -0.7571      0.00000000    -16.7976    0.0000000000  360.0000
   1826  -0.7561      0.00000000    -16.7704    0.0000000000  360.0000
   1836  -0.7551      0.00000000    -16.7432    0.0000000000  360.0000
   1846  -0.7541      0.00000000    -16.7160    0.0000000000  360.0000
   1856  -0.7531      0.00000000    -16.6887    0.0000000000  360.0000
   1866  -0.7521      0.00000000    -16.6615    0.0000000000  360.0000
   1876  -0.7511      0.00000000    -16.6343    0.0000000000  360.0000
   1886  -0.7501      0.00000000    -16.6071    0.0000000000  360.0000
   1896  -0.7491      0.00000000    -16.5799    0.0000000000  360.0000
   1906  -0.7481      0.00000000    -16.5527    0.0000000000  360.0000
   1916  -0.7471      0.00000000    -16.5255    0.0000000000  360.0000
   1926  -0.7461      0.00000000    -16.4983    0.0000000000  360.0000
   1936  -0.7451      0.00000000    -16.4711    0.0000000000  360.0000
   1946  -0.7441      0.00000000    -16.4438    0.0000000000  360.0000
   1956  -0.7431      0.00000000    -16.4166    0.0000000000  360.0000
   1966  -0.7421      0.00000000    -16.3894    0.0000000000  360.0000
   1976  -0.7411      0.00000000    -16.3622    0.0000000000  360.0000
   1986  -0.7401      0.00000000    -16.3350    0.0000000000  360.0000
   1996  -0.7391      0.00000000    -16.3078    0.0000000000  360.0000
   2006  -0.7381      0.00000000    -16.2806    0.0000000000  360.0000
   2016  -0.7371      0.00000000    -16.2534    0.0000000000  360.0000
   2026  -0.7361      0.00000000    -16.2261    0.0000000000  360.0000
   2036  -0.7351      0.00000000    -16.1989    0.0000000000  360.0000
   2046  -0.7341      0.00000000    -16.1717    0.0000000000  360.0000
   2056  -0.7331      0.00000000    -16.1445    0.0000000000  360.0000
   2066  -0.7321      0.00000000    -16.1173    0.0000000000  360.0000
   2076  -0.7311      0.00000000    -16.0901    0.0000000000  360.0000
   2086  -0.7301      0.00000000    -16.0629    0.0000000000  360.0000
   2096  -0.7291      0.00000000    -16.0357    0.0000000000  360.0000
   2106  -0.7281      0.00000000    -16.0085    0.0000000000  360.0000
   2116  -0.7271      0.00000000    -15.9812    0.0000000000  360.0000
   2126  -0.7261      0.00000000    -15.9540    0.0000000000  360.0000
   2136  -0.7251      0.00000000    -15.9268    0.0000000000  360.0000
   2146  -0.7241      0.00000000    -15.8996    0.0000000000  360.0000
   2156  -0.7231      0.00000000    -15.8724    0.0000000000  360.0000
   2166  -0.7221      0.00000000    -15.8452    0.0000000000  360.0000
   2176  -0.7211      0.00000000    -15.8180    0.0000000000  360.0000
   2186  -0.7201      0.00000000    -15.7908    0.0000000000  360.0000
   2196  -0.7191      0.00000000    -15.7636    0.0000000000  360.0000
   2206  -0.7181      0.00000000    -15.7363    0.0000000000  360.0000
   2216  -0.7171      0.00000000    -15.7091    0.0000000000  360.0000
   2226  -0.7161      0.00000000    -15.6819    0.0000000000  360.0000
   2236  -0.7151      0.00000000    -15.6547    0.0000000000  360.0000
   2246  -0.7141      0.00000000    -15.6275    0.0000000000  360.0000
   2256  -0.7131      0.00000000    -15.6003    0.0000000000  360.0000
   2266  -0.7121      0.00000000    -15.5731    0.0000000000  360.0000
   2276  -0.7111      0.00000000    -15.5459    0.0000000000  360.0000
   2286  -0.7101      0.00000000    -15.5187    0.0000000000  360.0000
   2296  -0.7091      0.00000000    -15.4914    0.0000000000  360.0000
   2306  -0.7081      0.00000000    -15.4642    0.0000000000  360.0000
   2316  -0.7071      0.00000000    -15.4370    0.0000000000  360.0000
   2326  -0.7061      0.00000000    -15.4098    0.0000000000  360.0000
   2336  -0.7051      0.00000000    -15.3826    0.0000000000  360.0000
   2346  -0.7041      0.00000000    -15.3554    0.0000000000  360.0000
   2356  -0.7031      0.00000000    -15.3282    0.0000000000  360.0000
   2366  -0.7021      0.00000000    -15.3010    0.0000000000  360.0000
   2376  -0.7011      0.00000000    -15.2738    0.0000000000  360.0000
   2386  -0.7001      0.00000000    -15.2465    0.0000000000  360.0000
   2396  -0.6991      0.00000000    -15.2193    0.0000000000  360.0000
   2406  -0.6981      0.00000000    -15.1921    0.0000000000  360.0000
   2416  -0.6971      0.00000000    -15.1649    0.0000000000  360.0000
   2426  -0.6961      0.00000000    -15.1377    0.0000000000  360.0000
   2436  -0.6951      0.00000000    -15.1105    0.0000000000  360.0000
   2446  -0.6941      0.00000000    -15.0833    0.0000000000  360.0000
   2456  -0.6931      0.00000000    -15.0561    0.0000000000  360.0000
   2466  -0.6921      0.00000000    -15.0288    0.0000000000  360.0000
   2476  -0.6911      0.00000000    -15.0016    0.0000000000  360.0000
   2486  -0.6901      0.00000000    -14.9744    0.0000000000  360.0000
   2496  -0.6891      0.00000000    -14.9472    0.0000000000  360.0000
   2506  -0.6881      0.00000000    -14.9200    0.0000000000  360.0000
   2516  -0.6871      0.00000000    -14.8928    0.0000000000  360.0000
   2526  -0.6861      0.00000000    -14.8656    0.0000000000  360.0000
   2536  -0.6851      0.00000000    -14.8384    0.0000000000  360.0000
   2546  -0.6841      0.00000000    -14.8112    0.0000000000  360.0000
   2556  -0.6831      0.00000000    -14.7839    0.0000000000  360.0000
   2566  -0.6821      0.00000000    -14.7567    0.0000000000  360.0000
   2576  -0.6811      0.00000000    -14.7295    0.0000000000  360.0000
   2586  -0.6801      0.00000000    -14.7023    0.0000000000  360.0000
   2596  -0.6791      0.00000000    -14.6751    0.0000000000  360.0000
   2606  -0.6781      0.00000000    -14.6479    0.0000000000  360.0000
   2616  -0.6771      0.00000000    -14.6207    0.0000000000  360.0000
   2626  -0.6761      0.00000000    -14.5935    0.0000000000  360.0000
   2636  -0.6751      0.00000000    -14.5663    0.0000000000  360.0000
   2646  -0.6741      0.00000000    -14.5390    0.0000000000  360.0000
   2656  -0.6731      0.00000000    -14.5118    0.0000000000  360.0000
   2666  -0.6721      0.00000000    -14.4846    0.0000000000  360.0000
