  No.   E(hr.)        dos(hr.)         E(eV)          dos(eV)              sum
    876  -0.86110      0.0000000000    -19.730371      0.0000000000       10.0000000000
    886  -0.86010      0.0000000000    -19.703159      0.0000000000       10.0000000000
    896  -0.85910      0.0000000000    -19.675948      0.0000000000       10.0000000000
    906  -0.85810      0.0000000000    -19.648737      0.0000000000       10.0000000000
    916  -0.85710      0.0000000000    -19.621525      0.0000000000       10.0000000000
    926  -0.85610      0.0000000000    -19.594314      0.0000000000       10.0000000000
    936  -0.85510      0.0000000000    -19.567102      0.0000000000       10.0000000000
    946  -0.85410      0.0000000000    -19.539891      0.0000000000       10.0000000000
    956  -0.85310      0.0000000000    -19.512680      0.0000000000       10.0000000000
    966  -0.85210      0.0000000000    -19.485468      0.0000000000       10.0000000000
    976  -0.85110      0.0000000000    -19.458257      0.0000000000       10.0000000000
    986  -0.85010      0.0000000000    -19.431045      0.0000000000       10.0000000000
    996  -0.84910      0.0000000000    -19.403834      0.0000000000       10.0000000000
   1006  -0.84810      0.0000000000    -19.376623      0.0000000000       10.0000000000
   1016  -0.84710      0.0000000000    -19.349411      0.0000000000       10.0000000000
   1026  -0.84610      0.0000000000    -19.322200      0.0000000000       10.0000000000
   1036  -0.84510      0.0000000000    -19.294988      0.0000000000       10.0000000000
   1046  -0.84410      0.0000000000    -19.267777      0.0000000000       10.0000000000
   1056  -0.84310      0.0000000000    -19.240566      0.0000000000       10.0000000000
   1066  -0.84210      0.0000000000    -19.213354      0.0000000000       10.0000000000
   1076  -0.84110      0.0000000000    -19.186143      0.0000000000       10.0000000000
   1086  -0.84010      0.0000000000    -19.158932      0.0000000000       10.0000000000
   1096  -0.83910      0.0000000000    -19.131720      0.0000000000       10.0000000000
   1106  -0.83810      0.0000000000    -19.104509      0.0000000000       10.0000000000
   1116  -0.83710      0.0000000000    -19.077297      0.0000000000       10.0000000000
   1126  -0.83610      0.0000000000    -19.050086      0.0000000000       10.0000000000
   1136  -0.83510      0.0000000000    -19.022875      0.0000000000       10.0000000000
   1146  -0.83410      0.0000000000    -18.995663      0.0000000000       10.0000000000
   1156  -0.83310      0.0000000000    -18.968452      0.0000000000       10.0000000000
